customer_id,order_id,order_date,amount,channel,city
C00223,ORD11511,2025-06-19,244.66,app,Bangkok
C00417,ORD12938,2026-04-28,390.44,store,Jakarta
C00520,ORD13551,2025-09-04,59.68,online,Jakarta
C00784,ORD15315,2025-05-22,44.56,app,Singapore
C00631,ORD14322,2026-04-23,310.57,store,Kuala Lumpur
C00295,ORD12045,2022-07-27,202.07,app,Kuala Lumpur
C00502,ORD13472,2025-11-10,30.91,online,Bangkok
C00368,ORD12530,2026-05-13,289.9,app,Singapore
C00727,ORD14926,2025-09-20,61.65,online,Singapore
C00582,ORD13925,2026-01-17,235.03,app,Bangkok
C00648,ORD14443,2024-10-27,337.81,app,Jakarta
C00508,ORD13513,2024-10-18,35.05,app,Singapore
C00139,ORD10970,2026-01-12,44.42,store,Bangkok
C00139,ORD10969,2025-04-24,77.62,store,Johor Bahru
C00621,ORD14251,2025-01-02,287.79,store,Singapore
C00045,ORD10309,2026-05-31,262.95,store,Jakarta
C00664,ORD14583,2025-04-01,206.44,app,Jakarta
C00104,ORD10736,2026-03-17,-245.81,online,Bangkok
C00394,ORD12725,2025-06-29,64.12,online,Johor Bahru
C00042,ORD10278,2026-05-13,359.22,store,Kuala Lumpur
C00363,ORD12458,2024-12-17,195.51,app,Kuala Lumpur
C00268,ORD11868,2026-04-17,212.97,online,Jakarta
C00087,ORD10568,2025-12-24,157.66,store,Jakarta
C00583,ORD13934,2026-05-20,242.26,app,Singapore
,ORD15091,2025-03-31,196.63,app,Bangkok
C00239,ORD11645,2026-04-22,275.92,online,Jakarta
C00441,ORD13092,2025-09-23,148.43,app,Johor Bahru
C00142,ORD11005,2025-08-24,301.07,store,Singapore
C00143,ORD11019,2025-08-17,61.4,store,Kuala Lumpur
C00465,ORD13240,2025-01-30,64.11,online,Singapore
 c00016 ,ORD10092,2025-08-08,112.92,online,Kuala Lumpur
C00412,ORD12876,2024-12-15,284.64,app,Bangkok
C00714,ORD14855,2025-09-09,26.23,app,Kuala Lumpur
C00396,ORD12752,2025-09-29,131.39,app,Bangkok
C00298,ORD12078,2026-04-23,184.04,store,Singapore
C00191,ORD11335,2026-02-10,277.69,online,Bangkok
C00301,ORD12102,2026-02-02,28.18,store,Johor Bahru
C00240,ORD11653,2025-05-25,262.43,store,Singapore
C00414,ORD12908,2023-03-16,298.38,app,Jakarta
C00736,ORD15002,2025-05-13,277.82,store,Singapore
C00492,ORD13424,2023-10-26,301.72,online,Kuala Lumpur
C00131,ORD10930,2026-01-05,334.93,store,Singapore
C00083,ORD10542,2026-05-19,307.63,online,Jakarta
C00009,ORD10052,2026-02-23,235.45,app,Jakarta
C00091,ORD10615,2022-01-29,222.13,online,Johor Bahru
C00422,ORD12972,25 Jan 2026,163.9,app,Johor Bahru
C00562,ORD13820,2024-06-19,182.77,app,Jakarta
C00635,ORD14355,2025-09-04,257.69,store,Singapore
C00012,ORD10071,2026-03-27,93.72,online,Kuala Lumpur
 c00491 ,ORD13406,2026-01-06,65.89,app,Jakarta
C00072,ORD10478,2025-05-05,286.69,app,Johor Bahru
C00326,ORD12262,2025-10-30,69.37,online,Bangkok
C00167,ORD11152,2022-06-16,$191.83,store,Johor Bahru
C00285,ORD11988,2024-12-30,214.78,app,Kuala Lumpur
C00628,ORD14299,2025-07-31,184.36,app,Bangkok
C00414,ORD12904,2025-05-14,249.61,store,Singapore
C00321,ORD12229,2025-09-16,74.32,app,Singapore
C00765,ORD15198,2025-09-08,29.51,app,Singapore
C00144,ORD11021,2025-11-06,64.23,app,Kuala Lumpur
C00446,ORD13141,2025-12-19,212.53,store,Bangkok
C00009,ORD10057,2026-04-24,259.86,app,Singapore
C00546,ORD13702,2026-05-10,207.48,app,Jakarta
C00526,ORD13591,2025-12-29,176.83,app,Johor Bahru
C00511,ORD13517,2026-05-11,278.54,app,Kuala Lumpur
